comment_id,body,rating
UgztP4lVR-Epv5HlSXN4AaABAg,stretched past  minute mark ad revenue se,0
Ugw3sxLwikkGsUza7hh4AaABAg,makes sense sold new phone nothing,0
Ugz5bQgZRZ6jTEgT0Op4AaABAg,talk damn much like get point,0
UgxUfNJxwDxAOC232dV4AaABAg,do realy brain unsubscribing,0
Ugx17oPE-GpTdOfXOz14AaABAg,niga fucking wasted iphone x,0
UgxfqlCvyOCXyO6Duk14AaABAg,machine scams thats there were many pop ups show thats not get seling price,0
UgyU5IcLSIgtgjEYhGF4AaABAg,fake alarm,0
UgyFWTs-FFInLr6zc9h4AaABAg,dumb fck,0
UgzqO7fls3gjpEv5lmp4AaABAg,anoying,0
Ugz66Aa3txAMZQTx6_N4AaABAg,scam or sum shake head not like machine,0
UgzCXd6oqEO93QWI58R4AaABAg,fuckin dumbas,0
UgzZubyLG5FtZu7qlal4AaABAg,big time scam,0
UgwL7IT4PTdLHXFi2LJ4AaABAg,fake replaced phone waste time click bait bs,0
UgwUGEgHVDte55u3Pzd4AaABAg,talking much,0
UgyLfVwRMz5f9xSzJ1N4AaABAg,spat lawn,0
UgzdVqg8weCZ54sHWNp4AaABAg,disapointed you lol actualy broke laugh,0
Ugz6un_I1FU0ahY7i-p4AaABAg,scambot,0
UgzceIPX4VnLLnFTPGZ4AaABAg,mega idiot award goes,0
Ugy-zUPKIcZxUpc7NXF4AaABAg,ben ripof  dolars fake aple,0
Ugz4uy-JDZ94pmxkjtN4AaABAg,stupid,0
UgzSMwb88ntjkYHQYaN4AaABAg,id recycle his face,0
UgwS5xQLLnyIzNUS4bp4AaABAg,god dang twat,0
Ugxy3Jv2eVWijEXl9T54AaABAg,thats fucked up,0
Ugzf0iCip78s2KSesWx4AaABAg, percent bulshit,0
UgyZ5LrNN1v4QH4yS-l4AaABAg,guy loks like stereotypical egocentric youtuber,0
Ugxu0FCeD6iT4dtoBPJ4AaABAg,fake,0
UgzERJIijVcauGfdSzt4AaABAg,faker,0
Ugw-J8up9JtcNl12o7N4AaABAg,not gona lie prety upset got nothing iphone  but made decision myself when decided recycle rather than take back or make someones day by giving them asclown,0
Ugx7k0eN0L8F87MJ5eZ4AaABAg,purchased  dolar fake,0
UgxC49Cii-xZCQnea8t4AaABAg,has punchable face,0
UgyM_aK79CyzrMJyKSx4AaABAg,omg anoying,0
UgwCmnUaK3WqGICoPZN4AaABAg,damn hurt,0
UgzHtjlOCFYGwKj2wC94AaABAg,rubish vid not make things like future wasted mg damn time,0
Ugy48bn0dnUqLEtxSG94AaABAg,though,0
Ugz3xJa1zH_7NDuTaYl4AaABAg,make us por folks sick our stomachs,0
UgzVsxPHi95dGYwc9qN4AaABAg,dumber dumber,0
Ugx-P1ogCGKJc4ULfzV4AaABAg,idiot,0
UgzidyZ46pbsHFbwTPR4AaABAg,to much stupid overeaction idiot,0
UgyMNKMtvRK5eVL7CFB4AaABAg,fake asf smh,0
UgzLDyq5EWm2XWRTNBJ4AaABAg,bad angry angry,0
UgzQI5kqHF0VqajcimR4AaABAg,wel thats rude,0
UgzzvLb6MUUnzKDebJp4AaABAg,machine scam,0
UgzcnWcMdylPfBdhkF94AaABAg,dumb as would do,0
Ugz1EJ6K2F0CYUX5NrN4AaABAg,not give away one  fans recognized you,0
UgyI5hLjBfIN99uVWDt4AaABAg,trash trash stupid unsubscribing,0
UgzFdmc8AsKGrNko3cR4AaABAg,guy stupid,0
UgxtvuN5Ay0imviXHDp4AaABAg,prety dumb even tho its not real could donated someone not have anyrhing,0
UgwF4IffeipWxSOLdAx4AaABAg,not rude white fright,0
UgzxG-3K7K73FDmcfrF4AaABAg,idiot,0
UgybLg-MOwwQ2nIKQyh4AaABAg,probably most sadest video ever sen smh straight up lied viewers tok advantage people,0
Ugyt_zYwI5GkCKUSrv94AaABAg,hes dumb omg not recycled omfg,0
Ugx1F833Rp03M89VM654AaABAg,stupid,0
UgxWTYFMpYW2Z3KqkIF4AaABAg,compulsive liar,0
Ugw5fddkpCzkg0rYziF4AaABAg,would ever do,0
UgyDeSXXppzEqLkTP7p4AaABAg,idiot,0
UgxtCpopKPGbEAUOyWB4AaABAg,video pises of,0
UgydWHuWssTUxFNRSaR4AaABAg,would do,0
UgzuZYoy8spmbKyAS3R4AaABAg,yeah am more shocked surprised than,0
UgzItB944kgeymrwSKB4AaABAg,instead recycling should give one us,0
UgwDghsKi_E8H3xYe-V4AaABAg,crazy man k,0
UgzeDtn_dQWyx5TDsKB4AaABAg,not anoyed sold iphone its because faked,0
UgyqfDrwh3rt-v2R6294AaABAg,hurt heart like kil baby por thing young shouldve given smh,0
Ugyw23xW3I1M7xzi2rl4AaABAg,unsubscribed,0
Ugw0_HuOVnQMPJyVkGp4AaABAg,dumb could gave not even phone,0
UgzltIi6j_wCObKLGkN4AaABAg,dumb,0
UgxJQfPIq8vxzLHHReJ4AaABAg,buly us machine,0
Ugz5kWwnyzGf_Itoxah4AaABAg,no dumb,0
Ugz1pty4W7n7hshhG5V4AaABAg,stupid guy,0
UgyGYe_yPrIVxW9IrMl4AaABAg,punchable face,0
UgzU9if1cvz3ROl7FSV4AaABAg,wtf did do,0
UgwBkoSC534p-rOZ2q54AaABAg,dumbas gave away  phone,0
UgzCUDIprvFjuQAkHiF4AaABAg,hate,0
UgwkWoKqLoN1GelrgcR4AaABAg,stupid,0
UgwF673F4qFD38Mxpbh4AaABAg,hes fake,0
UgztTgWzeiClMQp4Xkd4AaABAg,can not fucking move around,0
UgzGeiFoBxGL2q4UWNB4AaABAg,dumb wasted,0
UgwP9Z3si9Ebm5wN7oB4AaABAg,reported as spam,0
UgxtmSu5QXDOqABP-Cd4AaABAg,hate face,0
Ugxo2RWpZiVb6i0dGO54AaABAg,physicaly hate,0
UgyAm8sujQSPCMVi-Mh4AaABAg,dumb,0
UgxCigQ72-pcjQOMZ_h4AaABAg,fel acting as like fuck tard,0
UgxyJe4ETbYhO1sVn1Z4AaABAg,actualy wrong dude,0
UgwBY8B4d08ITmm26t94AaABAg,youre dumb dude,0
Ugyf4022yoEG_p_36Hx4AaABAg,suck,0
UgxdRnU1mZiaAcq5Zmt4AaABAg,got cheated out,0
UgxDoft4XV0B5pY9q-14AaABAg,waste time dumbas shouldve got back,0
UgwtH9u1tVzvbDB3pvh4AaABAg,liar used iphone  not iphone x,0
UgyDbR9kZW1UOZoi0NR4AaABAg,laugh trol fake,0
UgxiSpetNzs6Bmg7Xux4AaABAg,awful,0
UgwkHi8FfFqozu7c4KJ4AaABAg,first video se already fake god job,0
UgyxOmvheXI9zGew9Y94AaABAg,fake,0
UgwzyOax_drXWG3jOiN4AaABAg,spoiled as rich kid spends  dolars leave machine,0
Ugzv58zTMeZfpDgPMop4AaABAg,knew fake,0
UgzAqKwf0o009ApY3MR4AaABAg,copied david vlas,0
