,preproc,rating
0,stretch past  minut mark for ad revenu se,0
1,big time scam,0
2,id recycl his face,0
3,god dang are a twat,0
4,whi not give it away to one of  fan that recogn you,0
5,im trash but your trash and stupid im unsubscrib,0
6,are crazi man k,0
7,physicali hate,0
8,first video se of and alreadi fake god job,0
9,that so mese up,0
10,fuckin hate rich peopl,0
11,it a scam,0
12,stupid moron  buck bo,0
13,honesti think he put fake one in,0
14,that coment by portman was reali stupid,0
15,femin a fuck joke liber shit went overboard,0
16,just like blm movement when they bitch about no black pl be nomin give it a few month none wil care,0
17,can they just fire guy alreadi he suck,0
18,it me or doe he get wors everi night,0
19,coment so funi laugh,1
20,pleas dislik video thank you,0
21,fire niga hire chris smove smh,0
22,gros,0
23,im hela late but god job mat,1
24,definit not deserv dislik on that level,1
25,made me cring out of my skin,0
26,to be honest first guy was actuali decent but mat and other guy are just a bit cringey,0
27,mathew lok great,1
28,sound like a distrack to literali everi singl view hungri youtub in exist and love it with a pasion,1
29,love it,1
30,dope song,1
31,reali man thought were col but now your be like everyon els,0
32,first rap ive heard with real and meaning lyric,1
33,mat se what your do and new direct col but mayb should start up a side chanel for your music and stuf,0
34,what go on santoro your chanel done what to expect from you fel beter man,0
35,so much hate music video got,1
36,pleas not tri to rap with those hors teth ever againwait not some girl beat up,0
37,damn like straight up damn,1
38,laugh self absorb person literali have no clue so mani of your fan say how love and authent use to be,0
39,im not a big fan of kemstar but shit,0
40,are gona be such an amaz mom,1
41,congrat gigi can make a video of babi enzo closet wish where my mom love,1
42,are reason for homofob not want gay to have children,0
43,what a truli ugli person,0
44,shes die for atent and view,0
45,nat literali tri to hold back her laugh,0
46,not get it,0
47,group babi stupidest thing ive ever heard,0
48,watch in  amaz video and reali nede and brave for a youtub,1
49,fuck of,0
50,laugh,1
51,downward spiral,0
52,how much did she pay to make video,0
53,moron,0
54,your choic sad,0
55,guy such an idiot video did not age wel at al lol,0
56,she know what shes do blaugh,0
57,propaganda,0
58,shut fuck up,0
59,no no no apogis not acept,0
60,ashol,0
61,worst youtub in world,0
62,loganapolog meus bleach to remov eye,0
63,yeah your apolog not do shit,0
64,by way his act was god laugh,0
65,not forgiv,0
66,love how there more dislik then like,1
67,suck,0
68,know what forgiv you just not do that again,1
69,not forgiv him hes disgust for think a joke btw he just did to not be cancel,0
70,he read a script,0
71,we forgiv you,1
72,totali a fake apolog he just care about sub and money he not care about his mistak,0
73,hey fuck,0
74,nob,0
75,go go be a sick campaign,1
76,batl in spacewow col,1
77,laugh they knew gameplay was shiti so they end it with some hapi cod stuf,0
78,be in militari ruin some of dialogu,0
79,like,1
80,not buy one,0
81,everybodi sick of futurist stuf but they stil end up buy it anyway,0
82,lok bad,0
83,like game,1
84,bad not god not god,0
85,know we not want futurist cod but if titl not cod and not know it was a cod game peopl would be like damn sick,1
86,im glad they ade anim like jaiden and theodonesout,1
87,are we gona ignor fact that alex and guava were like togeth,0
88,was wait for theodsout to come into it,1
89, was amaz,1
90,anthoni throwin shade at paul laugh,1
91,youtub a die websit,0
92,sinc when doe tri guy count as youtub,0
93,pewd not in it it deserv no hype at al,0
94,on trend in australia,1
95,best part was end,0
96,now los wil tri,1
97,oh wow have dremel,1
98,whi do lie to al these peopl,0
99,ok nice math but it not a circl,0
100,dick,0
101,col,1
102,one of worst movi ive watch it fre on internet but im not gona wast my time on shit laugh,0
103,and they thought women are beter than men laugh,0
104,racist bigot nazist rape islamofob hitlerpatriarchi,0
105,total scrap bulshit storycomplet time wast,0
106,smart intelig,1
107,yeah right whos gona watch dogshit,0
108,have beter thing to do with my time,0
109,ghost buster remak have not learn a thing pas just simpli becaus,0
110,yes quen,1
111,hope arin can get to b son wish guy god luck god,1
112,arianaint no tear left to cri me dure onlin clas im tear left to cri sad,0
113,best video of  and    so far and so on,1
114,cher write omg ariana,1
115,,1
116,so no one gona talk about that fli thingi at end my gue that dog flew laugh anyway song crazi god bro am obses love love,1
117,cmon yal let view video  time a day it shal be our routin til it hit a bilion view,1
118,arian goin to be first woman son to make her  song reach  bilion view smile,1
119,not like it love it,1
120,woman wonder,1
121,god,1
122,alway get gosebump when watch video and it almost make me cri it so god it make me fel emot,1
123,beauti song,1
124,let get to b view,1
125,not like ariana grandad,0
126,fine song,1
127,so bueti,1
128,poetri,1
129,preti col,1
130,how come just found song beauti,1
131,sure it edgi but that a bad thing think track has a wonder vibe solid stori and clear mean what more do want,1
132,how am just now find gem,1
133,his best song on reviv besid chloresept remix with chainz,1
134,gota love how song end practicali foreshadow second most popular song on kamikaz album,1
135,love marshal mather love,1
136,my two favourit artist,1
137,fuck love song it crazi it alreadi ben a year sinc releas,1
138,peopl who dislik got tear and forgot where like buton was sad sad,1
139,can relat would have to say anyon can stan laugh,1
140,king,1
141,everybodi or a few said song suck or it not that god like it,1
142,love song so much,1
143,gosebump,1
144,love fact it a sad song but then he taunt us at end so eminem,1
145,gator was so hapi,1
146,that last second was hilari laugh,1
147,some unknown power make me watch god shit,1
148,god boi,1
149,aw hes so cute and such a god boy,1
150,it lok hapi,1
151,that was so scari rght,0
152,mei love crocodil now,1
153,watch to fel emot onc a month,1
154,cri sad,1
155,how mani time have watch it,0
156,whi am here again,0
157,fun fact stil have a litl hope that theyl eventuali get back togeth,1
158,guy stop watch video,0
159, year later and it now at  milion view nice,1
160,laugh,1
161,his hair beauti,1
162,dave are so col and inspir me so much,1
163,song would have ben beter if said ruber duck i love it though also if understand know what im talk about henri danger ep,1
164,sube right now,1
165,jame best,1
166, tht expres laugh god,1
167,love music video and somg,1
168,one of most beauti of ,1
169,stil cring,0
170,most like rewind ever,1
171,video disrespect smash mouth thumb down,0
172,one so far my favorit one laugh,1
173, like that slap,1
174,has to be wors than  rewind in my opinion,0
175,ayo was a banger to bad there aint no pewdiepi or mrbeast laugh,1
176,yeah def like a milion time beter than  rewind,1
177,mrbeast rewind youtub rewind,0
178,last god one made by youtub,1
179,they are not vibin pathet,0
180,hand down  has to be best year,1
181,reali excit,1
182,cant wait to hopefuli work there someday,1
183,spacex beter,0
184,when can move to mar sign me up,1
185,thank you,1
186,put youtub rewind to shame,1
187,cant stop watch it over and over again impres epic,1
188,glad to se this thank,1
189,they not hate em they just envi him,1
190,where are my  peopl at,1
191,beauti,1
192,love song,1
193,constant hi tempo god,1
194,love dodg,1
195,eminem best raper ever,1
196,not know whi song not get such high rate for me deserv to be on top,1
197,with respect from ukrain truth word,1
198,whenev click ani song of eminem it then take me hour to click ani other video legend understand,1
199,love love this song kilin it eminem,1
200,thank man,1
201,from philipin with love,1
202,eminem awesom smile bad is al got to say to hater,1
203,love to eminem,1
204,omg give me chil im sori but can never say star war beter then marvel there no competit,1
205,movi was x beter than endgam becaus not know what to expect and how it gona end,1
206,wish can go back to when trailer was releas so can fel hype again,1
207, gue what it stil give us gosebump,1
208,who al here after watch master and kgf  laugh smile,1
209,best movi ever,1
210,movi wil becom a nostalg critic in futur,1
211,rememb how hype was,1
212,movi was beter than endgam,1
213,kgf on way break your record,0
214,kgf  come wait for it,1
215,no  trailer,1
216,timel masterpiec to be archiv,1
217,ind was pleasant surpris,1
218,dang that rap was actuali great,1
219,he like youtub moral compa that also unfilt,1
220,how fuck retard are peopl wtf,0
221,lokey that was fire,1
222,love that shirt say shep nice,1
223,not care about simp drama video stil gold,1
224,bro just came to check out for nostalgia sake and realis  year aniversari of content cop lok at that,1
225,now how teach teacher,1
226,best ever,1
227,thank for vid now can take my ap test,1
228,whi do we have schol,1
229,whi are we stil here just to sufer,0
230,come back here onc a month to watch,1
231, peopl were in right,1
232,was last god one to be honest,1
233,mis  sad,1
234,by far best youtub rewind,1
235,not bad,1
236,best rewind for me,1
237,dan howel in a vest best thing ive ever sen,1
238,agin where kpop,0
239,mise,1
240,when rewind were god,1
241,at least one god,1
242,mr beast rewind stil beter than one,0
243,best rewind,1
244,just sad,0
245,like video,1
246,that beter than rewind ,1
247,best rewind ever,1
248,gold,1
249,ah god old day,1
250,was first rewind ever saw man mis  sad,1
251,best youtub rewind ever,1
252,se how do thing right,1
253,freak hilari love it god,1
254,love hari poter shirt,1
255,she made  dolar from video damn girl wish could do that,1
256,who els watch liza in  dure quarantin becaus mis old video,1
257,shes so preti smile smile,1
258,report becaus said a bad word laugh,0
259,not believ he was onli seventen,1
260,alcohol cant freze dumba,0
261,selena so preti smile,1
262,best video,1
263,she so down to earth,1
264,she cant sing,0
265,like her finger,1
266,jame an amaz singer just to god,1
267,shes so real tho shes not extra or anyth and can se it on her cloth xd what would wear on a tuesday,1
268,your show be set,1
269,she such a vibe,1
270,best video ever,1
271,laugh like song,1
272,gez laugh whole video love selena wish cud met u,1
273,she sem so awesom love it d,1
274,audienc sound so fake,0
275,selena so preti by way am a girl,1
276,omg start clape unconsci,1
277,jame reali cute tho love,1
278,shes so beauti and amaz love selena gomez your best,1
279,my favourit introwhat up bros my name pewdiepi,1
280,like this congratul,1
281,col video,1
282,man legit,1
283,and col,1
284,got my paper play buton yay ar at ,1
285,fuck,0
286,subscrib me ,1
287,god,1
288,but at least a thank you sad im hapi for but might mark yourself to respond or put heart to coment love,0
289,give me chil everi time,1
290,here in  stil as beauti as first time watch it,1
291,cant wait,1
292,was best youtub ad ever,1
293,best trailer in unirvers,1
294,there wil never be anoth game like and it honest saden me,1
295,who also come back to get gosebump from this,1
296, oh reali like scene,1
297, year later and stil lok awesom,1
298,best trailer ever made even after almost  year,1
299,was releas on my birthday best birthday present ever,1
300,kep come back just love it so much,1
301,am almost certain that song make everi trailer beter,1
302,if onli game was made for next gen consol man it would have ben best loke game ever,1
303,god stil amaz,1
304,everyth about game so god in my opinion stil play after  year,1
305,what a masterpiec,1
306,best reveal trailer ever saw,1
307,legendari song for legendari game,1
308,pres f for batlefield,0
309,crazi how  year old game lok beter than most game of nowaday,1
310,batlefield  last god batlefield game befor franchis die as a long time bf fan break my heart how did it end like this,1
311,im not sure il ever be as excit for a game as this trailer blew my mind when it came out and stil doe today,1
312,what a master piec,1
313,best music,1
314,best trailer in game histori thank ea dice we ned a new batlefield to destroy those fps game out there,1
315,one of best game ive ever play in generat,1
316,best of best,1
317,best game ever,1
318,best modren game trailer ever,1
319,was one of og like rolex,1
320,trailer gave me chil ea can do right,1
321,who came here for relief,1
322,no substitut of song,1
323,let se how mani legend are watch in februari ,1
324,like,1
325,smile god,1
326,like,1
327,earphon plus ful volum legend smile,1
328,god surpris,1
329,want when enter my clasrom,1
330,,1
331,veri top bro,1
332,bra idol like song bra,1
333,laugh  god music,1
334,subscrib to your chanl,1
335,are my favorit youtub eva,1
336,are so funi,1
337,wow she so famus,1
338, anyon like for,1
339,yay it at  milion like,1
340, love  mil,1
341,col,1
342,he lok like goni hey guy,0
343,,0
344,ridicul,0
345,fake asf fake reaction,0
346,york parent a racist so yo get what deserv,0
347,it was iron bad,0
348,what peopl fel sori for world trash,0
349,his mom racist as fok she cant even lie,0
350,orang man bad nice job fake news network d,0
351,clinton news network back at it again with fake news,0
352,laugh a stretch cn,0
353,just do quick research on web and youl se how fake cn,0
354,wish donald trump was fake,0
355,sigh it like their tri to prove that theyr fake,0
356,cn kil yourselv,0
357,republican are worthl cocksuck ruin america,0
358,imagin have to pay for steam,0
359,whoever like this fuck you,0
360,wow gredi polit win again,0
361,fucker,0
362,godby internet,0
363, unelect peopl chose futur of internet that  of peopl not want,0
364,wow trump fuck up america again jesus christ,0
365,what america is lete a few peopl vote for someth instead of lete america democraticali vote for it,0
366,fuck shit fuck,0
367,fuck you,0
368,fuck ajit pat fuck brendan car and fuck michel ori not how a democraci work,0
369,man some bs,0
370,my ear hurt,0
371,omg sound as if someon just put a distort efect on her,0
372,laugh horibl,0
373,they ruin star spangl baner,0
374,wtf was direct from whitney anthem horifi,0
375,what kind of shit this mariah pleas teach fergi how to sing,0
376,swear just saw selena gomez coment she cant sing,0
377,fergi let play some basketb me let play some auto tune,0
378,just as cringey as i play pokémon go everyday song,0
379,it was so funi had to like it laugh,1
380,threw up,0
381,omg bet draymon sing beter than her,0
382,what actual fuck did just watch,0
383,that so bad it hurt,0
384,she hwing disrespect to flag,0
