comment_id,body,rating
UgztP4lVR-Epv5HlSXN4AaABAg,stretch past minut mark ad revenu se,0
Ugw3sxLwikkGsUza7hh4AaABAg,make sens sold new phone noth,0
Ugz5bQgZRZ6jTEgT0Op4AaABAg,talk damn much like get point,0
UgxUfNJxwDxAOC232dV4AaABAg,do reali brain unsubscrib,0
Ugx17oPE-GpTdOfXOz14AaABAg,niga fuck wast iphon x,0
UgxfqlCvyOCXyO6Duk14AaABAg,machin scam that there were mani pop up show that not get sele price,0
UgyU5IcLSIgtgjEYhGF4AaABAg,fake alarm,0
UgyFWTs-FFInLr6zc9h4AaABAg,dumb fck,0
UgzqO7fls3gjpEv5lmp4AaABAg,anoy,0
Ugz66Aa3txAMZQTx6_N4AaABAg,scam or sum shake head not like machin,0
UgzCXd6oqEO93QWI58R4AaABAg,fuckin dumba,0
UgzZubyLG5FtZu7qlal4AaABAg,big time scam,0
UgwL7IT4PTdLHXFi2LJ4AaABAg,fake replac phone wast time click bait bs,0
UgwUGEgHVDte55u3Pzd4AaABAg,talk much,0
UgyLfVwRMz5f9xSzJ1N4AaABAg,spat lawn,0
UgzdVqg8weCZ54sHWNp4AaABAg,disapoint you lol actuali broke laugh,0
Ugz6un_I1FU0ahY7i-p4AaABAg,scambot,0
UgzceIPX4VnLLnFTPGZ4AaABAg,mega idiot award goe,0
Ugy-zUPKIcZxUpc7NXF4AaABAg,ben ripof dolar fake apl,0
Ugz4uy-JDZ94pmxkjtN4AaABAg,stupid,0
UgzSMwb88ntjkYHQYaN4AaABAg,id recycl his face,0
UgwS5xQLLnyIzNUS4bp4AaABAg,god dang twat,0
Ugxy3Jv2eVWijEXl9T54AaABAg,that fuck up,0
Ugzf0iCip78s2KSesWx4AaABAg,percent bulshit,0
UgyZ5LrNN1v4QH4yS-l4AaABAg,guy lok like stereotyp egocentr youtub,0
Ugxu0FCeD6iT4dtoBPJ4AaABAg,fake,0
UgzERJIijVcauGfdSzt4AaABAg,faker,0
Ugw-J8up9JtcNl12o7N4AaABAg,not gona lie preti upset got noth iphon but made decis myself when decid recycl rather than take back or make someon day by give them asclown,0
Ugx7k0eN0L8F87MJ5eZ4AaABAg,purchas dolar fake,0
UgxC49Cii-xZCQnea8t4AaABAg,has punchabl face,0
UgyM_aK79CyzrMJyKSx4AaABAg,omg anoy,0
UgwCmnUaK3WqGICoPZN4AaABAg,damn hurt,0
UgzHtjlOCFYGwKj2wC94AaABAg,rubish vid not make thing like futur wast mg damn time,0
Ugy48bn0dnUqLEtxSG94AaABAg,though,0
Ugz3xJa1zH_7NDuTaYl4AaABAg,make us por folk sick our stomach,0
UgzVsxPHi95dGYwc9qN4AaABAg,dumber dumber,0
Ugx-P1ogCGKJc4ULfzV4AaABAg,idiot,0
UgzidyZ46pbsHFbwTPR4AaABAg,to much stupid overeact idiot,0
UgyMNKMtvRK5eVL7CFB4AaABAg,fake asf smh,0
UgzLDyq5EWm2XWRTNBJ4AaABAg,bad angri angri,0
UgzQI5kqHF0VqajcimR4AaABAg,wel that rude,0
UgzzvLb6MUUnzKDebJp4AaABAg,machin scam,0
UgzcnWcMdylPfBdhkF94AaABAg,dumb as would do,0
Ugz1EJ6K2F0CYUX5NrN4AaABAg,not give away one fan recogn you,0
UgyI5hLjBfIN99uVWDt4AaABAg,trash trash stupid unsubscrib,0
UgzFdmc8AsKGrNko3cR4AaABAg,guy stupid,0
